Week,ipa bier: (Germany),pale ale bier: (Germany),helles bier: (Germany),porter bier: (Germany)
2012-09-30,19,0,41,14
2012-10-07,9,0,27,27
2012-10-14,9,9,18,15
2012-10-21,9,18,9,29
2012-10-28,13,9,29,26
2012-11-04,8,17,34,11
2012-11-11,9,0,23,12
2012-11-18,9,9,17,34
2012-11-25,8,8,23,17
2012-12-02,0,9,26,17
2012-12-09,8,8,25,25
2012-12-16,9,9,17,13
2012-12-23,10,10,24,27
2012-12-30,9,23,12,14
2013-01-06,8,0,19,19
2013-01-13,0,12,24,16
2013-01-20,8,8,16,16
2013-01-27,8,15,16,18
2013-02-03,8,8,19,16
2013-02-10,0,8,41,11
2013-02-17,16,8,19,12
2013-02-24,0,0,16,21
2013-03-03,8,8,27,8
2013-03-10,16,10,34,20
2013-03-17,12,0,26,26
2013-03-24,13,8,42,19
2013-03-31,17,17,75,17
2013-04-07,8,8,50,27
2013-04-14,8,8,39,22
2013-04-21,25,8,24,28
2013-04-28,17,13,25,17
2013-05-05,9,9,43,11
2013-05-12,8,16,30,16
2013-05-19,0,8,36,19
2013-05-26,16,8,28,24
2013-06-02,0,8,42,14
2013-06-09,87,11,30,22
2013-06-16,17,8,34,17
2013-06-23,16,8,24,19
2013-06-30,11,8,31,17
2013-07-07,26,9,26,29
2013-07-14,9,9,38,23
2013-07-21,13,17,29,22
2013-07-28,20,9,32,17
2013-08-04,9,9,43,14
2013-08-11,0,13,38,13
2013-08-18,9,9,29,34
2013-08-25,11,0,22,8
2013-09-01,8,13,33,17
2013-09-08,12,8,32,12
2013-09-15,13,16,24,24
2013-09-22,8,8,30,19
2013-09-29,23,8,37,8
2013-10-06,13,16,24,16
2013-10-13,16,11,24,13
2013-10-20,20,8,29,13
2013-10-27,16,8,24,16
2013-11-03,15,8,28,13
2013-11-10,16,16,37,16
2013-11-17,10,15,26,15
2013-11-24,16,8,28,18
2013-12-01,23,11,23,15
2013-12-08,13,8,23,16
2013-12-15,14,16,24,33
2013-12-22,19,10,26,48
2013-12-29,15,13,35,35
2014-01-05,15,10,12,12
2014-01-12,22,18,32,22
2014-01-19,17,14,19,24
2014-01-26,22,15,52,22
2014-02-02,21,0,28,35
2014-02-09,19,8,25,22
2014-02-16,11,8,28,25
2014-02-23,18,8,39,23
2014-03-02,24,8,42,16
2014-03-09,16,0,43,29
2014-03-16,25,11,18,38
2014-03-23,15,8,21,39
2014-03-30,12,12,32,50
2014-04-06,18,8,29,29
2014-04-13,41,8,28,44
2014-04-20,17,0,43,57
2014-04-27,16,16,42,50
2014-05-04,15,8,33,33
2014-05-11,20,8,46,33
2014-05-18,25,17,33,61
2014-05-25,26,22,59,24
2014-06-01,26,26,26,41
2014-06-08,27,14,33,45
2014-06-15,33,9,27,27
2014-06-22,11,26,37,14
2014-06-29,9,13,54,30
2014-07-06,14,13,39,14
2014-07-13,13,9,42,50
2014-07-20,9,0,64,26
2014-07-27,12,13,53,53
2014-08-03,19,9,28,28
2014-08-10,15,12,20,12
2014-08-17,26,12,32,26
2014-08-24,17,9,38,20
2014-08-31,26,21,26,23
2014-09-07,22,11,42,25
2014-09-14,20,17,39,25
2014-09-21,11,17,42,25
2014-09-28,15,9,32,26
2014-10-05,14,19,30,30
2014-10-12,11,0,27,38
2014-10-19,11,19,14,20
2014-10-26,22,11,57,22
2014-11-02,32,12,42,21
2014-11-09,13,16,11,13
2014-11-16,16,20,37,37
2014-11-23,11,16,40,13
2014-11-30,16,8,19,26
2014-12-07,31,8,23,21
2014-12-14,28,13,24,19
2014-12-21,19,16,35,54
2014-12-28,21,14,46,49
2015-01-04,11,11,40,30
2015-01-11,15,0,36,24
2015-01-18,22,10,29,15
2015-01-25,19,7,41,15
2015-02-01,12,15,32,10
2015-02-08,13,13,31,15
2015-02-15,28,8,21,15
2015-02-22,10,11,28,28
2015-03-01,33,13,48,33
2015-03-08,15,11,20,31
2015-03-15,13,8,25,41
2015-03-22,16,19,19,16
2015-03-29,19,24,77,24
2015-04-05,25,17,53,34
2015-04-12,42,13,44,26
2015-04-19,20,32,39,21
2015-04-26,26,29,39,31
2015-05-03,20,10,48,38
2015-05-10,54,36,59,41
2015-05-17,33,20,31,38
2015-05-24,26,26,34,24
2015-05-31,37,19,35,27
2015-06-07,18,10,41,26
2015-06-14,37,20,40,37
2015-06-21,33,20,28,33
2015-06-28,19,30,54,40
2015-07-05,15,21,36,21
2015-07-12,12,31,36,42
2015-07-19,27,19,40,37
2015-07-26,28,27,46,32
2015-08-02,33,22,72,28
2015-08-09,24,14,35,43
2015-08-16,24,19,38,38
2015-08-23,11,16,67,46
2015-08-30,34,21,56,53
2015-09-06,19,24,42,24
2015-09-13,23,15,46,28
2015-09-20,31,27,44,20
2015-09-27,18,13,52,34
2015-10-04,26,20,40,37
2015-10-11,20,18,33,30
2015-10-18,30,38,45,33
2015-10-25,15,28,30,33
2015-11-01,30,33,33,30
2015-11-08,27,15,27,37
2015-11-15,24,15,37,29
2015-11-22,22,12,25,27
2015-11-29,32,15,50,30
2015-12-06,35,22,22,27
2015-12-13,27,23,23,23
2015-12-20,37,46,55,43
2015-12-27,17,17,52,49
2016-01-03,14,18,35,28
2016-01-10,32,14,34,11
2016-01-17,21,28,32,16
2016-01-24,30,25,39,11
2016-01-31,14,21,33,23
2016-02-07,7,18,51,21
2016-02-14,32,9,55,30
2016-02-21,14,16,44,32
2016-02-28,28,16,39,18
2016-03-06,21,18,56,52
2016-03-13,22,19,41,29
2016-03-20,12,15,39,26
2016-03-27,27,20,47,20
2016-04-03,27,19,46,43
2016-04-10,57,14,35,19
2016-04-17,38,24,50,32
2016-04-24,16,16,60,32
2016-05-01,21,32,45,34
2016-05-08,22,26,64,22
2016-05-15,84,22,50,27
2016-05-22,32,27,47,35
2016-05-29,26,25,56,31
2016-06-05,24,17,58,24
2016-06-12,30,18,58,25
2016-06-19,17,22,82,50
2016-06-26,21,14,59,33
2016-07-03,18,11,46,10
2016-07-10,22,12,50,35
2016-07-17,27,16,65,18
2016-07-24,26,12,57,31
2016-07-31,18,16,37,21
2016-08-07,19,12,36,22
2016-08-14,38,26,63,34
2016-08-21,28,17,64,25
2016-08-28,21,27,61,32
2016-09-04,31,16,44,23
2016-09-11,15,23,38,26
2016-09-18,31,36,52,18
2016-09-25,31,21,44,23
2016-10-02,23,28,54,21
2016-10-09,25,12,55,32
2016-10-16,30,15,45,30
2016-10-23,20,12,44,20
2016-10-30,20,12,52,27
2016-11-06,18,19,15,25
2016-11-13,18,17,31,17
2016-11-20,22,12,39,22
2016-11-27,34,12,43,14
2016-12-04,14,17,43,28
2016-12-11,21,19,38,42
2016-12-18,20,23,33,28
2016-12-25,41,14,82,27
2017-01-01,21,7,42,21
2017-01-08,27,13,40,18
2017-01-15,18,18,48,25
2017-01-22,20,16,36,25
2017-01-29,27,7,36,18
2017-02-05,16,23,38,27
2017-02-12,14,18,39,25
2017-02-19,18,7,25,20
2017-02-26,25,18,36,29
2017-03-05,22,16,51,27
2017-03-12,25,14,57,14
2017-03-19,27,18,55,18
2017-03-26,29,14,63,7
2017-04-02,19,12,30,21
2017-04-09,26,22,74,14
2017-04-16,42,21,89,18
2017-04-23,36,17,52,18
2017-04-30,16,21,58,39
2017-05-07,18,16,56,18
2017-05-14,33,18,57,31
2017-05-21,38,27,100,41
2017-05-28,14,0,38,33
2017-06-04,32,29,79,31
2017-06-11,41,22,41,22
2017-06-18,21,10,67,19
2017-06-25,17,10,42,37
2017-07-02,19,17,79,26
2017-07-09,26,21,71,35
2017-07-16,29,14,51,39
2017-07-23,30,17,67,24
2017-07-30,30,14,74,37
2017-08-06,21,11,76,21
2017-08-13,33,16,61,28
2017-08-20,33,7,50,28
2017-08-27,36,16,39,18
2017-09-03,43,18,57,29
2017-09-10,42,16,69,27
2017-09-17,14,27,41,18
2017-09-24,27,9,36,18
